offerKey,game,site,provider,reward,condition,platform,type,deadline,updatedAt,url,sourceUrl,verified
ATLAS: EARTH|coincome|iOS|https://cimcome.jp/campaigns/details/9663,ATLAS: EARTH,coincome,,8620,新規アプリインストール後、30日以内にStepUpミッション（初回起動、土地1/2/3/5/10/20/50個購入、100/315/900 Atlas bucks購入）を達成,iOS,StepUp,インストール後30日以内,2026-09-26,https://cimcome.jp/campaigns/details/9663,https://cimcome.jp/campaigns/details/9663,true
Township|chobirich|Android|https://www.chobirich.com/ad_details/1894712,Township,chobirich,,31030,60日以内にレベル5到達 / 60日以内にレベル11到達 / 60日以内にレベル20到達 / 60日以内にレベル35到達 / 60日以内にレベル45到達 / 60日以内にレベル51到達 / 60日以内にレベル60到達 / 60日以内にレベル70到達 / 60日以内に初回課金,Android,StepUp,インストール日から起算して60日以内,2026-09-08,https://www.chobirich.com/ad_details/1894712,https://www.chobirich.com/ad_details/1894712,true
Township|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645,Township,warau,,21670,新規アプリインストール後、インストール日から起算して60日以内にStepUpミッション（レベル5到達、レベル11到達、レベル20到達、レベル35到達、レベル45到達、レベル51到達、レベル60到達、レベル70到達、初回課金）をクリア,Android,StepUp,インストール日から起算して60日以内,2026-09-10,https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645,https://www.warau.jp/contents/point/pointEntrance.php?point_id=204645,true
Township|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643,Township,warau,,16760,新規アプリインストール後、インストール日から起算して60日以内にStepUpミッション（レベル5到達、レベル11到達、レベル20到達、レベル35到達、レベル45到達、レベル51到達、レベル60到達、レベル70到達、初回課金）をクリア,iOS,StepUp,インストール日から起算して60日以内,2026-09-10,https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643,https://www.warau.jp/contents/point/pointEntrance.php?point_id=204643,true
きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1883822,きのこ伝説,chobirich,,3831,新規アプリインストール後、【StepUpミッション!!】クリア（ステージ困難1-10クリア、ステージ終末Ⅳ10-10クリア、一括800円課金、プレイヤーレベル110到達、一括1600円課金、プレイヤーレベル120到達）,Android,StepUp,インストール日から起算して30日以内,2026-09-08,https://www.chobirich.com/ad_details/1883822,https://www.chobirich.com/ad_details/1883822,true
きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1896200,きのこ伝説,chobirich,,17880,新規アプリインストール後、各ステップクリア（ステージ普通2-8クリア、月パス購入、ステージ普通5-10クリア、一括1600円課金、ステージ困難1-10クリア、ステージ終末Ⅳ10-10クリア、終身パス購入、プレイヤーレベル100到達、一括3200円課金、プレイヤーレベル120到達、プレイヤーレベル125到達）,Android,StepUp,最大45日以内（ステップにより異なる）,2026-09-08,https://www.chobirich.com/ad_details/1896200,https://www.chobirich.com/ad_details/1896200,true
きのこ伝説|chobirich|Android|https://www.chobirich.com/ad_details/1896275,きのこ伝説,chobirich,,13409,新規アプリインストール後、各ステップクリア（ステージ普通2-8クリア、ステージ普通5-10クリア、ステージ困難1-10クリア、ステージ終末IV10-10クリア、プレイヤーレベル100到達、プレイヤーレベル120到達、プレイヤーレベル125到達、月パス購入、一括1600円課金、終身パス購入、一括3200円課金）,Android,StepUp,最大45日以内（ステップにより異なる）,2026-09-08,https://www.chobirich.com/ad_details/1896275,https://www.chobirich.com/ad_details/1896275,true
きのこ伝説|hapitas|Android|https://hapitas.jp/item/detail/itemid/102451,きのこ伝説,hapitas,,16346,新規アプリインストール後、StepUp（普通2-8/5-10・困難1-10・終末Ⅳ10-10クリア、月パス/終身パス購入、1600円/3200円課金、Lv100/120/125到達）を達成,Android,StepUp,Step1〜9は30日以内・Lv120は40日以内・Lv125は45日以内,2026-09-24,https://hapitas.jp/item/detail/itemid/102451,https://hapitas.jp/item/detail/itemid/102451,true
きのこ伝説|hapitas|iOS|https://hapitas.jp/item/detail/itemid/102450,きのこ伝説,hapitas,,20047,新規アプリインストール後、StepUp（普通2-8/5-10・困難1-10・終末Ⅳ10-10クリア、月パス/終身パス購入、1600円/3200円課金、Lv100/120/125到達）を達成,iOS,StepUp,Step1〜9は30日以内・Lv120は40日以内・Lv125は45日以内,2026-09-24,https://hapitas.jp/item/detail/itemid/102450,https://hapitas.jp/item/detail/itemid/102450,true
きのこ伝説|warau|Android|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817,きのこ伝説,warau,,18800,新規インストール後、課金を含む11ステップを達成。30日以内：ステージ普通2-8クリア、月パス購入（ダイヤ以外）、ステージ普通5-10クリア、一括1600円課金、ステージ困難1-10クリア、ステージ終末IV10-10クリア、終身パス購入（ダイヤ以外）、プレイヤーレベル100到達、レベル100到達後に一括3200円課金。40日以内：プレイヤーレベル120到達。45日以内：プレイヤーレベル125到達。期限はインストール日から起算。,Android,StepUp,インストール日から起算して30日／40日／45日以内（ステップ別）,2026-09-10,https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817,https://www.warau.jp/contents/point/pointEntrance.php?point_id=205817,true
きのこ伝説|warau|iOS|https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816,きのこ伝説,warau,,22000,新規インストール後、課金を含む11ステップを達成。30日以内：ステージ普通2-8クリア、月パス購入（ダイヤ以外）、ステージ普通5-10クリア、一括1600円課金、ステージ困難1-10クリア、ステージ終末IV10-10クリア、終身パス購入（ダイヤ以外）、プレイヤーレベル100到達、レベル100到達後に一括3200円課金。40日以内：プレイヤーレベル120到達。45日以内：プレイヤーレベル125到達。期限はインストール日から起算。,iOS,StepUp,インストール日から起算して30日／40日／45日以内（ステップ別）,2026-09-10,https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816,https://www.warau.jp/contents/point/pointEntrance.php?point_id=205816,true
