observedAt,game,platform,bestReward,bestSite,offerCount
2026-09-03T23:17:46Z,Township,all,33125,coincome,5
2026-09-03T23:17:46Z,Township,Android,33125,coincome,3
2026-09-03T23:17:46Z,Township,iOS,30025,coincome,2
2026-09-03T23:17:46Z,きのこ伝説,all,22050,coincome,7
2026-09-03T23:17:46Z,きのこ伝説,Android,18820,coincome,3
2026-09-03T23:17:46Z,きのこ伝説,iOS,22050,coincome,2
2026-09-03T23:17:46Z,きのこ伝説,unknown,17880,chobirich,2
2026-09-03T23:17:46Z,ホワイトアウト・サバイバル,all,6119,moppy,1
2026-09-03T23:17:46Z,ホワイトアウト・サバイバル,Android,6119,moppy,1
2026-09-03T23:17:46Z,ワーキングヒーロー,all,11502,hapitas,2
2026-09-03T23:17:46Z,ワーキングヒーロー,Android,11502,hapitas,1
2026-09-03T23:17:46Z,ワーキングヒーロー,iOS,11502,hapitas,1
